Quel modèle de comportement suppose que les individus agissent uniquement pour leur intérêt personnel ?,Le modèle du choix égoïste (Homo Economicus).
Les _____ sont des règles de conduite partagées et appliquées de manière décentralisée par un groupe.,Normes sociales.
Quelle est la conséquence majeure de la polarisation sur la politique étrangère ?,Une réduction du soutien à l'aide publique au développement.
Dans quel pays la part de la population 'méritocratique' est-elle la plus élevée selon les graphiques du PNUD ?,Le Canada (ou pays à IDH très élevé).
Quel terme désigne l'espace de conflit permanent où la distinction entre paix et guerre est floue ?,La Zone Grise.
Comment appelle-t-on le détournement de l'attention vers l'appartenance à un groupe plutôt que sur le fond des opinions ?,La polarisation affective.
Quel est le rôle du 'spectateur impartial' dans le raisonnement public ?,Soumettre les convictions à un examen critique extérieur pour surmonter les préjugés de groupe.
Quel pourcentage de l'IDH mondial a été perdu à cause de la pandémie de COVID-19 selon les estimations ?,Les déclins de 2020 et 2021 ont annulé environ cinq ans de progrès.
Quelle est la 'monnaie' du Soft Power selon les sources ?,L'authenticité.
Quel est le but du 'Data Poisoning' contre les IA ?,Infiltrer les corpus d'entraînement pour insérer des biais ou des narratifs faux.
Le modèle de Benjamin Bratton nomme la ressource physique de base par quel terme ?,La Terre (Earth).
Quel format de contenu Facebook a une portée organique 1000 fois supérieure au texte selon Source 3 ?,Une vidéo de 60 secondes.
Quel est le coût estimé de l'abandon des combustibles fossiles d'ici 2050 au niveau mondial ?,$19\ 000$ milliards de dollars.
Quel est le bénéfice net mondial attendu de l'atténuation des changements climatiques ?,$45\ 000$ milliards de dollars.
Quel pays a utilisé la 'monogamie normative' comme exemple d'évolution culturelle réduisant la violence sociale ?,L'exemple est cité dans le cadre des recherches de Joseph Henrich.
La _____ est l'état d'interdépendance extrême au sein des sociétés humaines complexes.,Ultrasocialité.
Quelle organisation belge est à l'origine du document 'Jeunes et médias sociaux' ?,Le CPCP (Centre Permanent pour la Citoyenneté et la Participation).
Quel est l'identifiant social en Belgique ouvrant droit à des remboursements de soins majorés ?,Le statut BIM (Bénéficiaire de l'Intervention Majorée).
Quelle erreur juridique volontaire est utilisée par le CCPLC pour s'auto-désigner ?,AISBL de fait.
Quel montant net mensuel Jacqueline (témoin RTL) perçoit-elle avec son mari ?,$3\ 000$ €.
Quel terme désigne l'architecture verticale de la souveraineté numérique ?,The Stack.
La _____ consiste à piéger l'utilisateur dans un glissement sémantique pour concentrer l'autorité SEO.,Forteresse sémantique (ou Cocon sémantique).
Comment appelle-t-on le commandement centré sur l'intention du chef plutôt que sur les ordres précis ?,Auftragstaktik.
Quel philosophe a théorisé le passage de la Biopolitique à la Psychopolitique ?,Byung-Chul Han.
Le _____ est une base de données sémantique utilisée par Google pour lier les concepts.,Knowledge Graph.
Quelle proportion de pays à IDH élevé a réussi à améliorer son IDH sans augmenter la pression planétaire ?,La majorité des pays à IDH très élevé ces dernières années.
Quel mécanisme financier permet de suspendre les remboursements de dette en cas de catastrophe ?,Les clauses de dette résilientes aux changements climatiques.
Quel organe de l'ONU a été paralysé par l'usage fréquent du veto à partir des années 1970 ?,Le Conseil de sécurité.
Qui est l'actuel Administrateur du PNUD ?,Achim Steiner.
Quel pays a inspiré le modèle 'India Stack' pour l'infrastructure publique numérique ?,L'Inde.
Le _____ est un exemple de bien public mondial dont la fourniture dépend du 'maillon le plus faible'.,L'endiguement des maladies infectieuses (ou lutte contre le terrorisme).
La découverte d'un vaccin est un bien public mondial de type '_____'.,Portée du meilleur (ou 'best-shot').
Quelle convention de 1973 réglemente la pollution par les navires ?,La convention MARPOL.
Quel est l'effet d'un 'point de basculement social' ?,Un changement rapide et massif de norme sociale après qu'une minorité critique l'a adopté.
L'IDHP est l'IDH ajusté par quels facteurs environnementaux ?,Les émissions de $CO_2$ et l'empreinte matières par habitant.
Quel pays détient le rang IDH numéro 2 en 2022 ?,La Norvège.
Quelle est la durée moyenne de scolarisation mondiale en 2022 ?,"$8,6$ ans."
Quel terme désigne la perception erronée qu'ont les membres d'un groupe sur les opinions d'un autre groupe ?,L'ignorance pluraliste (ou méconnaissance sociale).
Quel est le principal obstacle à la fourniture de biens publics mondiaux ?,Le parasitisme (ou comportement de 'passager clandestin').
Quelle institution belge est citée comme partenaire de 'Éduquer' ?,La Ligue de l'Enseignement.
Le modèle 'The Stack' inclut l'Utilisateur comme quelle couche ?,La sixième couche (sommet de l'empilement).
Quelle technique de marketing utilise les signaux d'événements business pour prospecter ?,Le Lead-dexing (concept fictionnel basé sur le trigger marketing).
L'insécurité _____ est l'incapacité de distinguer le vrai du faux sur Internet.,Épistémique.
Quel est le titre du Manuel de Survie Cognitive ?,Z.O.N.E. DE Q.U.A.R.A.N.T.A.I.N.E.
Quelle coalition belge est surnommée 'Vivaldi' ?,La coalition dirigée par Alexander De Croo (7 partis).
Quel est l'acronyme de l'IDH ajusté aux pressions planétaires ?,IDHP.
Quel pourcentage de la population mondiale dispose d'un réseau mobile à large bande en 2023 ?,$95\%$.
L'année 2023 a été la plus _____ jamais enregistrée.,Chaude.
Le _____ est le sentiment d'hostilité croissante entre partisans de camps politiques opposés.,Polarisation affective.
